activity_type,risk_score,severity,status,insider_threat
LOGIN,5,Low,Success,0
LOGOUT,2,Low,Success,0
FAILED_LOGIN,25,Medium,Failed,0
FILE_ACCESS,20,Medium,Success,0
USB_INSERT,35,High,Success,1
POWERSHELL,45,High,Success,1
ADMIN_PRIVILEGE_CHANGE,80,Critical,Success,1
LOGIN,5,Low,Success,0
FILE_ACCESS,20,Medium,Success,0
USB_INSERT,35,High,Success,1
FAILED_LOGIN,25,Medium,Failed,0
POWERSHELL,45,High,Success,1
ADMIN_PRIVILEGE_CHANGE,80,Critical,Success,1
LOGIN,5,Low,Success,0
LOGOUT,2,Low,Success,0
FILE_ACCESS,20,Medium,Success,0
USB_INSERT,35,High,Success,1
POWERSHELL,45,High,Success,1
FAILED_LOGIN,25,Medium,Failed,0
ADMIN_PRIVILEGE_CHANGE,80,Critical,Success,1
